,,,,,,,,,,,,
,Роли,,,,,,,,,,,
,"Примечание: у каждой заявки есть по умолчанию 1 ответственный со стороны заказчика и 1 ответственный со стороны исполнителя. Назначается автоматически тот, кто начинает с ней работать",,,,,,,,,,,
,,,,,,,,,,,,
,Типы прав: Делает / Подтверждает / Уведомляется / Просматривает,,,,,,,,,,,
,,,,,,,,,,,,
,Действие,Примечание,,,,,,,,,,
,,,,,,,,,,,,
,,,Администратоор заказчика,Директор заказчика,Бухгалтер заказчика,Логист заказчика,Администратоор исполнителя,Директор исполнителя,Бухгалтер исполнителя,Логист исполнителя,Водитель,Администратор платформы (через админку)
,Создание ТОО в системе (заказчик/исполнитель),,Делает,Делает,- - -,- - -,Делает,Делает,- - -,- - -,- - -,Может  сделать вручную
,"Создание пользователей (централизованный вариант, админом)",,Делает,Делает,- - -,- - -,Делает,Делает,- - -,Делает (для водителя);,- - -,Может  сделать вручную
,Создание пользователей (через саморегистрацию с дальнейшим подтверждением админом),,Подтверждает,Подтверждает,Делает,Делает,Подтверждает,Подтверждает,Делает,"Делает (для себя)
Подтверждает (для водителя)",Делает,
,Создание контракта (над заявками),,Просматривает,Делает,- - -,Делает,Подтверждает,Делает,- - -,Делает,- - -,Может  сделать вручную
,"Заказчик создал Заявку, но не опубликовал",Forming,Просматривает,,Просматривает,Делает,Просматривает,- - -,Просматривает,- - -,- - -,Просматривает
,Заказчик опубликовал Заявку,Created,Просматривает,,Просматривает,Делает,Просматривает,Просматривает,Просматривает,Уведомляется,- - -,Просматривает
,На заявку откликнулся исполнитель,Waiting_Customer_Decision,Просматривает,,Просматривает,Уведомляется,Просматривает,,Просматривает,Делает,- - -,Просматривает
,Исполнитель отменил свой отклик,"Пока такого действия в системе нет, но в будущем должно",Просматривает,,Просматривает,Уведомляется,Просматривает,,Просматривает,Делает,- - -,Просматривает
,Истек срок (срок размещения),"Пока такого действия в системе нет, но в будущем должно",Просматривает,,Просматривает,Уведомляется,Просматривает,,Просматривает,- - -,- - -,Просматривает
,Заказчик отменил Заявку,"Пока такого действия в системе нет, но в будущем должно",Может делать,,Просматривает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Просматривает,,Просматривает,Уведомляется,- - -,Просматривает
,Заказчик выбрал исполнителя и подписал Заявку,Signed_Customer,Просматривает,,Просматривает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Просматривает,,Просматривает,Уведомляется,- - -,Просматривает
,Исполнитель подписал Заявку,Waitng_Driver_Response,Просматривает,,Просматривает,Уведомляется,Просматривает,,Просматривает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",- - -,Просматривает
,Логист исполнителя выбрал водителя и ждет его подтверждения,Waitng_Driver_confirmation,Просматривает,-,Просматривает,Уведомляется,Просматривает,,Просматривает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Уведомляется,Просматривает
,Водитель нажал “Отказаться” (отказался от поездки),Waitng_Driver_Response наверное,Просматривает,-,Просматривает,- - -,Просматривает,,Просматривает,Уведомляется,Делает,Просматривает
,Водитель нажал “Подтвердить” (принять поездку),Driver_accepted,Просматривает,-,Просматривает,- - -,Просматривает,,Просматривает,Уведомляется,Делает,Просматривает
,Водитель нажал “Начать поездку”,On_the_way,Просматривает,-,Просматривает,Уведомляется,Просматривает,,Просматривает,Уведомляется,Делает (только главный водитель),Просматривает
,Водитель нажал “Прибыл на погрузку” или “Прибыл на разгрузку”,On_the_way (статус не меняется),Просматривает,-,Просматривает,Уведомляется,Просматривает,,Просматривает,Уведомляется,Делает (только главный водитель),Просматривает
,Водитель нажал “Завершить погрузку” или “Завершить разгрузку”,On_the_way (статус не меняется),Просматривает,-,Просматривает,Уведомляется,Просматривает,,Просматривает,Уведомляется,Делает (только главный водитель),Просматривает
,"Логист переключил Главного водителя (между теми, которые уже включены в поездку)",,Просматривает,,Просматривает,Уведомляется,Просматривает,,Просматривает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Уведомляется,Просматривает
,Логист исключил водителя из поездки,,Просматривает,,Просматривает,Уведомляется,Просматривает,,- - -,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Уведомляется (все водители в поездке; После исключения данный водитель перестает получать уведомления),Просматривает
,Логист поменял машину,,Просматривает,,Просматривает,Уведомляется,Просматривает,,- - -,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Уведомляется,Просматривает
,Логист добавил водителя к поездке в пути,,Просматривает,,Просматривает,Уведомляется,Просматривает,,- - -,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Уведомляется,Просматривает
,Водитель нажал “SOS”,On_the_way (статус не меняется),Просматривает,-,Просматривает,Уведомляется,Просматривает,,- - -,Уведомляется,Делает (любой из водителей),Просматривает
,Водитель отжал “SOS”,On_the_way (статус не меняется),Просматривает,-,Просматривает,Уведомляется,Просматривает,,- - -,Уведомляется,Делает (любой из водителей),Просматривает
,"Водитель нажал “Завершить разгрузку” или “Завершить разгрузку” после того, как стоял на последней точке маршрута",Finished,Просматривает,-,Просматривает,Уведомляется,Просматривает,,- - -,Уведомляется,Делает,Просматривает
,"Логист исполнителя подтвердил, что поездка водителя завершена","Пока такого действия в системе нет, но в будущем должно",Просматривает,,Просматривает,Уведомляется,Просматривает,,Уведомляется,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Уведомляется,Просматривает
,Исполнитель выставляет акты выполненных работ,,Просматривает,,Уведомляется,Уведомляется,Просматривает,,Делает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",- - -,Просматривает
,Заказчик подписывает акты выполненных работ,,Просматривает,,Делает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Просматривает,,Уведомляется,Уведомляется,- - -,Просматривает
,Заказчик выставляет претензию,,Просматривает,,Делает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Просматривает,,Уведомляется,Уведомляется,- - -,Просматривает
,Исполнитель выставляет счет,,Просматривает,,Уведомляется,Уведомляется,Просматривает,,Делает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",- - -,Просматривает
,Исполнитель вручную выставляет флажок “Счет оплачен”,,Просматривает,,Уведомляется,Уведомляется,Просматривает,,Делает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",- - -,Просматривает
,"Заявка полностью завершена, все работы сданы и оплаты приняты (статус на будущее)",----,Просматривает,,Делает,"Делает (пока что с ручным подтверждением “я уверен”, если заявка чужая)",Просматривает,,Просматривает,Просматривает,- - -,Просматривает
,,,,,,,,,,,,+ Возможность авторизоваться под любым юзером (обсудить с Тофиком в рамках отдельной задачи)
,,,,,,,,,,,,
,,,,,,,,,,,,
,Сокращения:,,,,,,,,,,,
,C (или “Yes”) – create,,,,,,,,,,,
,E – edit,,,,,,,,,,,
,V – view only,,,,,,,,,,,
,VN – view with notification,,,,,,,,,,,